,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label
8,tt0012349,The Kid,,1921,\N,68,121452.0,True
30,tt0015361,Strike,,1925,\N,82,7695.0,True
36,tt0015881,Greed,,1924,\N,140,9649.0,True
53,tt0018066,Thé Énd ớf St. Pétérsbúrg,Konets Sankt-Peterburga,1927,\N,85,,True
70,tt0019412,Speedy,,1928,\N,85,3613.0,True
73,tt0019655,Asphalt,,1929,\N,90,1530.0,True
78,tt0020298,Queen Kelly,Queen Kelly,1932,\N,101,3226.0,True
83,tt0021409,Under the Roofs of Paris,Sous les toits de Paris,1930,\N,96,2214.0,True
89,tt0022100,M,M - Eine Stadt sucht einen Mörder,1931,\N,117,152166.0,True
95,tt0022458,Tabu: A Story of the South Seas,,1931,\N,86,5639.0,True
104,tt0023293,The Old Dark House,,1932,\N,72,10558.0,True
106,tt0023395,East of Shanghai,,1931,\N,110,4225.0,False
116,tt0023943,Bogus Bandits,The Devil's Brother,1933,\N,90,1904.0,True
128,tt0024481,Queen Christina,,1933,\N,99,7647.0,True
137,tt0025318,It's a Gift,It's a Gift,1934,\N,68,5252.0,True
139,tt0025440,The Lucky Texan,The Lucky Texan,1934,\N,55,,False
140,tt0025455,The Man from Utah,The Man from Utah,1934,\N,55,1108.0,False
141,tt0025464,Manhattan Melodrama,Manhattan Melodrama,1934,\N,93,,True
150,tt0026267,Thé Dáwn Ridér,The Dawn Rider,1935,\N,53,1147.0,False
151,tt0026424,The Good Fairy,,1935,\N,98,1383.0,True
155,tt0027118,An Inn in Tokyo,Tôkyô no yado,1935,\N,80,1362.0,True
156,tt0027214,The Whole Town's Talking,,1935,\N,93,2665.0,True
173,tt0028141,The Prisoner of Shark Island,The Prisoner of Shark Island,1936,\N,96,2159.0,True
182,tt0028355,Theodora Goes Wild,Theodora Goes Wild,1936,\N,94,2458.0,True
196,tt0029284,My Favorite Wife,,1940,\N,88,10183.0,True
202,tt0029658,They Won't Forget,They Won't Forget,1937,\N,95,1644.0,True
213,tt0030252,Hotel du Nord,Hôtel du Nord,1938,\N,95,2613.0,True
216,tt0030522,Olympia Part One: Festival of the Nations,,1938,\N,121,4727.0,True
218,tt0030643,Port of Shadows,,1938,\N,91,,True
232,tt0031387,The Gorilla,The Gorilla,1939,\N,66,1426.0,False
234,tt0031477,In Name Only,In Name Only,1939,\N,94,2978.0,True
235,tt0031507,Jesse James,Jesse James,\N,1939,106,4361.0,True
262,tt0032432,"Edison, the Man","Edison, the Man",1940,\N,107,1600.0,True
270,tt0032762,The Mark of Zorro,The Mark of Zorro,1940,\N,94,9918.0,True
271,tt0032819,Murder Over New York,Murder Over New York,1940,\N,65,1235.0,True
274,tt0032943,Pride and Prejudice,,1940,\N,118,8057.0,True
289,tt0033717,High Sierra,High Sierra,1941,\N,100,16322.0,True
292,tt0033766,It Started with Eve,,1941,\N,90,1502.0,True
308,tt0034478,Thé Múrdérér Livés át Númbér 21,,1942,\N,84,3115.0,True
319,tt0034891,In Which We Serve,,1942,\N,115,5549.0,True
345,tt0036152,Thé Mémphis Béllé: Á Stớry ớf á Flying Fớrtréss,The Memphis Belle: A Story of a Flying Fortress,\N,1944,45,1606.0,True
351,tt0036377,The Song of Bernadette,,1943,\N,156,,True
352,tt0036422,Thank Your Lucky Stars,Thank Your Lucky Stars,1943,\N,127,1863.0,True
354,tt0036613,Arsenic and Old Lace,,1943,\N,118,69184.0,True
363,tt0036962,It Háppénéd Tớmớrrớw,It Happened Tomorrow,1944,\N,85,2308.0,True
371,tt0037084,The Monster Maker,,1944,\N,62,1075.0,False
375,tt0037151,Ớné Bớdy Tớớ Mány,,1944,\N,75,1208.0,False
395,tt0038107,The Southerner,The Southerner,1945,\N,92,3273.0,True
403,tt0038577,Green for Danger,,1946,\N,91,4784.0,True
414,tt0038913,Shoeshine,,1946,\N,87,7138.0,True
430,tt0039416,Gentleman's Agreement,,\N,1947,118,15804.0,True
449,tt0039895,I Became a Criminal,,1947,\N,101,1539.0,True
462,tt0040525,The Lady from Shanghai,,1947,\N,87,29121.0,True
481,tt0041088,Act of Violence,Act of Violence,1948,\N,82,4980.0,True
489,tt0041507,In the Good Old Summertime,In the Good Old Summertime,1949,\N,102,3645.0,True
504,tt0042192,All About Eve,All About Eve,1950,\N,138,127110.0,True
508,tt0042286,Broken Arrow,Broken Arrow,1950,\N,93,8380.0,True
509,tt0042296,Caged,,1950,\N,96,3818.0,True
516,tt0042648,Kiss Tomorrow Goodbye,Kiss Tomorrow Goodbye,1950,\N,102,1983.0,True
523,tt0042958,Scandal,Shûbun,1950,\N,104,3890.0,True
526,tt0043041,Three Came Home,Three Came Home,1950,\N,106,1835.0,True
533,tt0043435,Cry Danger,,1951,\N,79,2334.0,True
535,tt0043459,Decision Before Dawn,,1951,\N,119,2634.0,True
541,tt0043873,Has Anybody Seen My Gal,Has Anybody Seen My Gal,1952,\N,88,1448.0,True
543,tt0043895,The Painted Hills,,1951,\N,68,1106.0,False
550,tt0044008,A Christmas Carol,,1951,\N,86,21457.0,True
552,tt0044314,5 Fingers,5 Fingers,1952,\N,108,4598.0,True
558,tt0044533,Deadline - U.S.A.,,1952,\N,87,3436.0,True
565,tt0044926,Moulin Rouge,,1952,\N,119,5391.0,True
579,tt0045492,All I Desire,,1953,\N,80,1896.0,True
630,tt0047682,Sound of the Mountain,Yama no oto,\N,1954,95,1763.0,True
636,tt0047990,Devdas,Devdas,1955,\N,159,1860.0,True
